MPS Current Set,Current B,Target B,Target MPS Set
58667.1111111112,-0.231755,0.436695,-115334.888888889
58667.1111111112,-0.231755,0.509015,-134298.197530864
58667.1111111112,-0.231755,0.581025,-153187.456790123
58667.1111111112,-0.231755,0.65265,-172002.666666667
58667.1111111112,-0.231755,0.723705,-190743.827160494
58667.1111111112,-0.231755,0.79428,-209410.938271605
58667.1111111112,-0.231755,0.86435,-228004
58667.1111111112,-0.231755,0.933795,-246523.012345679
58667.1111111112,-0.231755,1.002505,-264967.975308642
58667.1111111112,-0.231755,1.07062,-283338.888888889
39037.3580246913,-0.156265,-0.08097,19481.6543209877
39037.3580246913,-0.156265,-0.006315,0
39037.3580246913,-0.156265,0.068365,-19407.6049382717
39037.3580246913,-0.156265,0.14271,-38741.1604938272
39037.3580246913,-0.156265,0.21683,-58000.6666666667
39037.3580246913,-0.156265,0.290395,-77186.1234567901
39037.3580246913,-0.156265,0.36376,-96297.5308641976
39037.3580246913,-0.156265,0.436695,-115334.888888889
39037.3580246913,-0.156265,0.509015,-134298.197530864
39037.3580246913,-0.156265,0.581025,-153187.456790123
39037.3580246913,-0.156265,0.65265,-172002.666666667
39037.3580246913,-0.156265,0.723705,-190743.827160494
39037.3580246913,-0.156265,0.79428,-209410.938271605
39037.3580246913,-0.156265,0.86435,-228004
39037.3580246913,-0.156265,0.933795,-246523.012345679
39037.3580246913,-0.156265,1.002505,-264967.975308642
39037.3580246913,-0.156265,1.07062,-283338.888888889
19481.6543209877,-0.08097,-0.006315,0
19481.6543209877,-0.08097,0.068365,-19407.6049382717
19481.6543209877,-0.08097,0.14271,-38741.1604938272
19481.6543209877,-0.08097,0.21683,-58000.6666666667
19481.6543209877,-0.08097,0.290395,-77186.1234567901
19481.6543209877,-0.08097,0.36376,-96297.5308641976
19481.6543209877,-0.08097,0.436695,-115334.888888889
19481.6543209877,-0.08097,0.509015,-134298.197530864
19481.6543209877,-0.08097,0.581025,-153187.456790123
19481.6543209877,-0.08097,0.65265,-172002.666666667
19481.6543209877,-0.08097,0.723705,-190743.827160494
19481.6543209877,-0.08097,0.79428,-209410.938271605
19481.6543209877,-0.08097,0.86435,-228004
19481.6543209877,-0.08097,0.933795,-246523.012345679
19481.6543209877,-0.08097,1.002505,-264967.975308642
19481.6543209877,-0.08097,1.07062,-283338.888888889
0,-0.006315,0.068365,-19407.6049382717
0,-0.006315,0.14271,-38741.1604938272
0,-0.006315,0.21683,-58000.6666666667
0,-0.006315,0.290395,-77186.1234567901
0,-0.006315,0.36376,-96297.5308641976
0,-0.006315,0.436695,-115334.888888889
0,-0.006315,0.509015,-134298.197530864
0,-0.006315,0.581025,-153187.456790123
0,-0.006315,0.65265,-172002.666666667
0,-0.006315,0.723705,-190743.827160494
0,-0.006315,0.79428,-209410.938271605
0,-0.006315,0.86435,-228004
0,-0.006315,0.933795,-246523.012345679
0,-0.006315,1.002505,-264967.975308642
0,-0.006315,1.07062,-283338.888888889
-19407.6049382717,0.068365,0.14271,-38741.1604938272
-19407.6049382717,0.068365,0.21683,-58000.6666666667
-19407.6049382717,0.068365,0.290395,-77186.1234567901
-19407.6049382717,0.068365,0.36376,-96297.5308641976
-19407.6049382717,0.068365,0.436695,-115334.888888889
-19407.6049382717,0.068365,0.509015,-134298.197530864
-19407.6049382717,0.068365,0.581025,-153187.456790123
-19407.6049382717,0.068365,0.65265,-172002.666666667
-19407.6049382717,0.068365,0.723705,-190743.827160494
-19407.6049382717,0.068365,0.79428,-209410.938271605
-19407.6049382717,0.068365,0.86435,-228004
-19407.6049382717,0.068365,0.933795,-246523.012345679
-19407.6049382717,0.068365,1.002505,-264967.975308642
-19407.6049382717,0.068365,1.07062,-283338.888888889
-38741.1604938272,0.14271,0.21683,-58000.6666666667
-38741.1604938272,0.14271,0.290395,-77186.1234567901
-38741.1604938272,0.14271,0.36376,-96297.5308641976
-38741.1604938272,0.14271,0.436695,-115334.888888889
-38741.1604938272,0.14271,0.509015,-134298.197530864
-38741.1604938272,0.14271,0.581025,-153187.456790123
-38741.1604938272,0.14271,0.65265,-172002.666666667
-38741.1604938272,0.14271,0.723705,-190743.827160494
-38741.1604938272,0.14271,0.79428,-209410.938271605
-38741.1604938272,0.14271,0.86435,-228004
-38741.1604938272,0.14271,0.933795,-246523.012345679
-38741.1604938272,0.14271,1.002505,-264967.975308642
-38741.1604938272,0.14271,1.07062,-283338.888888889
-58000.6666666667,0.21683,0.290395,-77186.1234567901
-58000.6666666667,0.21683,0.36376,-96297.5308641976
-58000.6666666667,0.21683,0.436695,-115334.888888889
-58000.6666666667,0.21683,0.509015,-134298.197530864
-58000.6666666667,0.21683,0.581025,-153187.456790123
-58000.6666666667,0.21683,0.65265,-172002.666666667
-58000.6666666667,0.21683,0.723705,-190743.827160494
-58000.6666666667,0.21683,0.79428,-209410.938271605
-58000.6666666667,0.21683,0.86435,-228004
-58000.6666666667,0.21683,0.933795,-246523.012345679
-58000.6666666667,0.21683,1.002505,-264967.975308642
-58000.6666666667,0.21683,1.07062,-283338.888888889
-77186.1234567901,0.290395,0.36376,-96297.5308641976
-77186.1234567901,0.290395,0.436695,-115334.888888889
-77186.1234567901,0.290395,0.509015,-134298.197530864
-77186.1234567901,0.290395,0.581025,-153187.456790123
-77186.1234567901,0.290395,0.65265,-172002.666666667
-77186.1234567901,0.290395,0.723705,-190743.827160494
-77186.1234567901,0.290395,0.79428,-209410.938271605
-77186.1234567901,0.290395,0.86435,-228004
-77186.1234567901,0.290395,0.933795,-246523.012345679
-77186.1234567901,0.290395,1.002505,-264967.975308642
-77186.1234567901,0.290395,1.07062,-283338.888888889
-96297.5308641976,0.36376,0.436695,-115334.888888889
-96297.5308641976,0.36376,0.509015,-134298.197530864
-96297.5308641976,0.36376,0.581025,-153187.456790123
-96297.5308641976,0.36376,0.65265,-172002.666666667
-96297.5308641976,0.36376,0.723705,-190743.827160494
-96297.5308641976,0.36376,0.79428,-209410.938271605
-96297.5308641976,0.36376,0.86435,-228004
-96297.5308641976,0.36376,0.933795,-246523.012345679
-96297.5308641976,0.36376,1.002505,-264967.975308642
-96297.5308641976,0.36376,1.07062,-283338.888888889
-115334.888888889,0.436695,0.509015,-134298.197530864
-115334.888888889,0.436695,0.581025,-153187.456790123
-115334.888888889,0.436695,0.65265,-172002.666666667
-115334.888888889,0.436695,0.723705,-190743.827160494
-115334.888888889,0.436695,0.79428,-209410.938271605
-115334.888888889,0.436695,0.86435,-228004
-115334.888888889,0.436695,0.933795,-246523.012345679
-115334.888888889,0.436695,1.002505,-264967.975308642
-115334.888888889,0.436695,1.07062,-283338.888888889
-134298.197530864,0.509015,0.581025,-153187.456790123
